User_ID,Age_Group,Occupation,Region,Google_Products_Used,Most_Used_Product,Usage_Frequency,Satisfaction_Score,Non_Adoption_Reason,Data_Source
U0034,25-34,Healthcare Professional,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Docs; Google Pay,Google Maps,Monthly,4,Not aware of product,Synthetic
U0035,25-34,Student,West,Google Search; YouTube; Google Maps; Google Chrome; Google Meet,Google Chrome,Daily,5,Don't need it,Synthetic
U0036,18-24,Business Owner,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Pay,Google Chrome,Monthly,4,Prefer competitor,Synthetic
U0037,35-44,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Drive,Daily,5,No reason / Uses products,Synthetic
U0038,45-54,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs,Google Meet,Daily,4,Privacy concerns,Synthetic
U0039,35-44,Student,Central,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Docs; Google Pay,Google Maps,Daily,4,Not aware of product,Synthetic
U0040,25-34,Business Owner,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Pay,Google Search,Daily,3,Prefer competitor,Synthetic
U0041,18-24,Student,North,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Meet; Google Docs,Google Chrome,Daily,5,Don't need it,Synthetic
U0042,35-44,Healthcare Professional,West,Google Search; YouTube; Gmail; Google Maps; Google Photos; Google Pay,Google Pay,Daily,4,Prefer competitor,Synthetic
U0043,25-34,IT Professional,North,Google Search; YouTube; Gmail; Google Chrome; Google Photos; Google Pay,Google Pay,Daily,4,Difficult to use,Synthetic
U0044,45-54,Other,North,Google Search; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Pay,Google Meet,Monthly,3,Prefer competitor,Synthetic
U0045,25-34,Other,South,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Photos; Google Meet; Google Pay,Google Meet,Daily,4,Difficult to use,Synthetic
U0046,25-34,Student,Central,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Docs; Google Pay,Google Drive,Weekly,3,Prefer competitor,Synthetic
U0047,35-44,IT Professional,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs,Gmail,Weekly,4,Prefer competitor,Synthetic
U0048,18-24,Student,Central,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Photos; Google Docs,Google Chrome,Daily,5,Privacy concerns,Synthetic
U0049,18-24,Business Owner,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,Google Meet,Monthly,5,Don't need it,Synthetic
U0050,25-34,IT Professional,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Docs,Google Search,Daily,2,Difficult to use,Synthetic
U0051,18-24,Business Owner,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Drive,Daily,5,Don't need it,Synthetic
U0052,25-34,Student,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,YouTube,Daily,4,Don't need it,Synthetic
U0053,35-44,Student,South,Google Search; YouTube; Gmail; Google Chrome; Google Pay,Google Search,Daily,3,Not aware of product,Synthetic
U0054,18-24,Student,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Docs; Google Pay,Google Chrome,Daily,4,Prefer competitor,Synthetic
U0055,25-34,Teacher,West,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Photos; Google Docs; Google Pay,Google Maps,Weekly,4,Don't need it,Synthetic
U0056,25-34,IT Professional,Central,Google Search; YouTube; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,Google Photos,Daily,3,Not aware of product,Synthetic
U0057,25-34,Student,Central,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs,Google Chrome,Daily,3,Difficult to use,Synthetic
U0058,45-54,Business Owner,East,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,Google Chrome,Weekly,2,Privacy concerns,Synthetic
U0059,25-34,Other,West,Google Search; Gmail; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs,Google Search,Daily,4,Don't need it,Synthetic
U0060,35-44,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Docs; Google Pay,Gmail,Daily,5,Limited internet/device,Synthetic
U0061,35-44,Teacher,East,Google Search; Gmail; Google Maps; Google Chrome; Google Photos; Google Pay,Google Maps,Monthly,5,Prefer competitor,Synthetic
U0062,35-44,Other,North,Google Search; Gmail; Google Maps; Google Chrome; Google Docs,Google Maps,Daily,5,Prefer competitor,Synthetic
U0063,25-34,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,YouTube,Daily,5,Prefer competitor,Synthetic
U0064,45-54,IT Professional,Central,Google Search; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos,Google Search,Daily,4,Not aware of product,Synthetic
U0065,18-24,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Photos; Google Meet; Google Docs,Google Drive,Weekly,2,Don't need it,Synthetic
U0066,45-54,Other,East,Google Search; YouTube; Google Maps; Google Photos; Google Meet; Google Docs; Google Pay,YouTube,Daily,5,Privacy concerns,Synthetic
U0067,35-44,Business Owner,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs; Google Pay,Google Chrome,Daily,4,Don't need it,Synthetic
U0068,18-24,Healthcare Professional,South,Google Search; YouTube; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,Google Chrome,Weekly,4,Prefer competitor,Synthetic
U0069,18-24,Business Owner,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs,Gmail,Weekly,3,Prefer competitor,Synthetic
U0070,18-24,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Docs,Google Chrome,Weekly,3,Privacy concerns,Synthetic
U0071,45-54,IT Professional,North,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs,YouTube,Daily,5,Don't need it,Synthetic
U0072,18-24,Teacher,West,Google Search; YouTube; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs,Google Meet,Monthly,5,Privacy concerns,Synthetic
U0073,18-24,Teacher,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Photos,Daily,5,Prefer competitor,Synthetic
U0074,45-54,Teacher,South,Google Search; YouTube; Google Maps; Google Chrome; Google Pay,Google Maps,Daily,5,Prefer competitor,Synthetic
U0075,18-24,Student,West,Google Search; YouTube; Gmail; Google Chrome,Gmail,Weekly,4,Difficult to use,Synthetic
U0076,55+,Student,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Docs,Daily,4,Prefer competitor,Synthetic
U0077,18-24,IT Professional,East,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs,Google Docs,Daily,4,Prefer competitor,Synthetic
U0078,18-24,Teacher,Central,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Docs,Daily,3,Prefer competitor,Synthetic
U0079,25-34,Teacher,North,Google Search; YouTube; Gmail; Google Maps; Google Meet; Google Pay,Google Maps,Daily,4,Privacy concerns,Synthetic
U0080,25-34,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet,Google Chrome,Daily,4,Don't need it,Synthetic
U0081,35-44,Student,Central,YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet,Google Drive,Weekly,4,Not aware of product,Synthetic
U0082,35-44,IT Professional,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Pay,Google Chrome,Daily,4,Not aware of product,Synthetic
U0083,35-44,Student,West,Google Search; YouTube; Gmail; Google Chrome; Google Photos; Google Meet; Google Pay,Google Pay,Daily,4,Prefer competitor,Synthetic
U0084,25-34,Other,South,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Pay,Daily,3,Not aware of product,Synthetic
U0085,35-44,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Docs; Google Pay,YouTube,Monthly,3,Prefer competitor,Synthetic
U0086,18-24,Business Owner,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Pay,Daily,3,Don't need it,Synthetic
U0087,18-24,IT Professional,North,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Meet; Google Docs,Google Docs,Weekly,5,Limited internet/device,Synthetic
U0088,35-44,IT Professional,East,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,YouTube,Daily,3,Not aware of product,Synthetic
U0089,18-24,Healthcare Professional,Central,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Meet,Gmail,Weekly,4,Prefer competitor,Synthetic
U0090,25-34,IT Professional,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,YouTube,Daily,4,Difficult to use,Synthetic
U0091,25-34,IT Professional,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive,Google Chrome,Weekly,4,Difficult to use,Synthetic
U0092,18-24,Other,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Pay,Google Pay,Daily,4,Not aware of product,Synthetic
U0093,18-24,IT Professional,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,Google Photos,Weekly,4,Don't need it,Synthetic
U0094,18-24,Student,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs; Google Pay,Google Maps,Daily,5,Don't need it,Synthetic
U0095,35-44,Student,East,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Photos; Google Meet; Google Pay,Google Pay,Daily,3,Not aware of product,Synthetic
U0096,18-24,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Pay,Google Pay,Daily,2,Prefer competitor,Synthetic
U0097,45-54,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Pay,Google Photos,Daily,4,Prefer competitor,Synthetic
U0098,18-24,IT Professional,South,YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Docs; Google Pay,Google Docs,Daily,5,Don't need it,Synthetic
U0099,35-44,Teacher,Central,Google Search; YouTube; Gmail; Google Drive; Google Meet; Google Pay,Google Search,Weekly,4,Prefer competitor,Synthetic
U0100,18-24,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Pay,Google Photos,Daily,5,Privacy concerns,Synthetic
U0101,18-24,Other,North,Google Search; YouTube; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,YouTube,Daily,5,Don't need it,Synthetic
U0102,45-54,Business Owner,East,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Pay,Google Drive,Daily,3,Limited internet/device,Synthetic
U0103,25-34,Other,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Gmail,Daily,3,Don't need it,Synthetic
U0104,35-44,Business Owner,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Pay,Google Chrome,Weekly,4,Not aware of product,Synthetic
U0105,25-34,IT Professional,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Docs; Google Pay,Gmail,Daily,5,Don't need it,Synthetic
U0106,35-44,Student,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,Google Photos,Daily,3,Difficult to use,Synthetic
U0107,18-24,Business Owner,West,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Photos; Google Pay,Google Search,Weekly,2,Difficult to use,Synthetic
U0108,25-34,Business Owner,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Pay,Google Search,Weekly,4,Privacy concerns,Synthetic
U0109,18-24,Student,East,Google Search; YouTube; Google Photos; Google Meet; Google Docs,YouTube,Daily,2,Limited internet/device,Synthetic
U0110,18-24,Teacher,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet,Google Maps,Daily,3,Don't need it,Synthetic
U0111,45-54,IT Professional,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Maps,Daily,3,No reason / Uses products,Synthetic
U0112,45-54,Business Owner,South,Google Search; YouTube; Gmail; Google Chrome; Google Photos; Google Pay,Google Chrome,Daily,4,Privacy concerns,Synthetic
U0113,18-24,IT Professional,West,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Photos; Google Meet,Gmail,Daily,4,Not aware of product,Synthetic
U0114,45-54,Business Owner,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Pay,YouTube,Weekly,5,Not aware of product,Synthetic
U0115,35-44,IT Professional,East,Google Search; YouTube; Gmail; Google Chrome,YouTube,Weekly,5,Don't need it,Synthetic
U0116,25-34,Teacher,Central,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Maps,Daily,5,Prefer competitor,Synthetic
U0117,18-24,Teacher,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos,Google Chrome,Weekly,4,Don't need it,Synthetic
U0118,18-24,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Photos; Google Meet,Gmail,Weekly,5,Privacy concerns,Synthetic
U0119,35-44,Other,North,Google Search; Gmail; Google Maps; Google Chrome; Google Drive; Google Pay,Google Maps,Daily,5,Privacy concerns,Synthetic
U0120,18-24,Healthcare Professional,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs; Google Pay,Google Maps,Daily,5,Don't need it,Synthetic
U0121,18-24,IT Professional,North,Google Search; YouTube; Gmail; Google Drive; Google Photos; Google Docs; Google Pay,Google Drive,Daily,2,Difficult to use,Synthetic
U0122,18-24,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Meet; Google Docs; Google Pay,Google Search,Daily,5,Prefer competitor,Synthetic
U0123,35-44,Student,South,Google Search; Google Maps; Google Chrome; Google Photos; Google Meet; Google Pay,Google Meet,Daily,4,Don't need it,Synthetic
U0124,35-44,IT Professional,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs,Google Maps,Daily,4,Privacy concerns,Synthetic
U0125,25-34,Student,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos,Gmail,Monthly,4,Privacy concerns,Synthetic
U0126,25-34,Business Owner,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Pay,Daily,4,No reason / Uses products,Synthetic
U0127,35-44,Student,South,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs,Google Maps,Monthly,3,Prefer competitor,Synthetic
U0128,18-24,Other,West,Google Search; YouTube; Gmail; Google Maps; Google Photos; Google Docs,Google Photos,Weekly,4,Limited internet/device,Synthetic
U0129,55+,Business Owner,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Docs,Google Drive,Weekly,4,Don't need it,Synthetic
U0130,35-44,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,YouTube,Weekly,4,Not aware of product,Synthetic
U0131,18-24,Healthcare Professional,East,YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Pay,Google Pay,Daily,4,Not aware of product,Synthetic
U0132,25-34,IT Professional,North,Google Search; YouTube; Gmail; Google Chrome; Google Docs,Gmail,Daily,3,Don't need it,Synthetic
U0133,25-34,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Gmail,Weekly,4,Privacy concerns,Synthetic
U0134,55+,Business Owner,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Maps,Daily,4,No reason / Uses products,Synthetic
U0135,18-24,IT Professional,West,Google Search; YouTube; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs,Google Meet,Daily,3,Privacy concerns,Synthetic
U0136,25-34,Business Owner,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Docs; Google Pay,Google Pay,Daily,4,Privacy concerns,Synthetic
U0137,25-34,Other,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,YouTube,Daily,4,No reason / Uses products,Synthetic
U0138,55+,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Gmail,Daily,4,Don't need it,Synthetic
U0139,25-34,Healthcare Professional,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs,Google Search,Weekly,3,Don't need it,Synthetic
U0140,25-34,Healthcare Professional,East,Google Search; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Pay,Google Search,Weekly,5,Privacy concerns,Synthetic
U0141,18-24,Business Owner,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Maps,Monthly,4,No reason / Uses products,Synthetic
U0142,18-24,Teacher,South,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Drive,Monthly,2,Don't need it,Synthetic
U0143,18-24,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos,Google Drive,Weekly,4,Prefer competitor,Synthetic
U0144,25-34,Healthcare Professional,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Docs; Google Pay,Google Search,Daily,4,Prefer competitor,Synthetic
U0145,25-34,Student,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs,YouTube,Weekly,4,Don't need it,Synthetic
U0146,18-24,Student,Central,Google Search; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Docs; Google Pay,Google Drive,Daily,4,Difficult to use,Synthetic
U0147,18-24,Other,South,Google Search; YouTube; Gmail; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,Google Photos,Daily,4,Prefer competitor,Synthetic
U0148,18-24,Healthcare Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs; Google Pay,Google Chrome,Daily,4,Don't need it,Synthetic
U0149,25-34,Other,Central,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs,Google Chrome,Daily,4,Don't need it,Synthetic
U0150,18-24,Teacher,East,Google Search; YouTube; Gmail; Google Maps; Google Photos; Google Meet; Google Pay,Google Pay,Daily,4,Prefer competitor,Synthetic
U0151,35-44,IT Professional,East,Google Search; YouTube; Google Chrome; Google Pay,Google Search,Daily,1,Not aware of product,Synthetic
U0152,18-24,Student,South,Google Search; YouTube; Google Maps; Google Chrome; Google Meet; Google Pay,Google Pay,Daily,5,Don't need it,Synthetic
U0153,35-44,IT Professional,West,YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Photos,Weekly,5,Difficult to use,Synthetic
U0154,35-44,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,Gmail,Daily,4,Prefer competitor,Synthetic
U0155,25-34,Teacher,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs,Google Chrome,Daily,5,Don't need it,Synthetic
U0156,18-24,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Meet; Google Pay,YouTube,Weekly,5,Privacy concerns,Synthetic
U0157,25-34,IT Professional,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,YouTube,Daily,4,Prefer competitor,Synthetic
U0158,45-54,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Pay,Google Search,Daily,5,Not aware of product,Synthetic
U0159,18-24,Student,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,Google Pay,Daily,3,Privacy concerns,Synthetic
U0160,25-34,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,Google Maps,Weekly,3,Not aware of product,Synthetic
U0161,25-34,Other,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Docs; Google Pay,Google Photos,Daily,2,Prefer competitor,Synthetic
U0162,35-44,Healthcare Professional,West,Google Search; YouTube; Gmail; Google Maps; Google Docs,Google Search,Monthly,3,Not aware of product,Synthetic
U0163,45-54,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs; Google Pay,Google Chrome,Daily,1,Prefer competitor,Synthetic
U0164,35-44,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Photos,Google Photos,Daily,4,Prefer competitor,Synthetic
U0165,18-24,Student,East,Google Search; YouTube; Gmail; Google Meet; Google Pay,Google Search,Daily,5,Not aware of product,Synthetic
U0166,45-54,Healthcare Professional,South,Google Search; Gmail; Google Chrome; Google Docs,Google Search,Monthly,4,Prefer competitor,Synthetic
